word,sentiment
方便面,-1.146116726
从不,-1.736147794
闭嘴,-0.820966474
品质,-1.169564657
一遍,-0.69402181
死心,-1.077739078
多多,-1.525091422
走来,-1.478936999
关键,-1.423247316
未果,-2.265696832
退款,-1.769737538
中学,-2.123757741
手上,-1.190255385
太好了,-1.819434585
修,-2.553649707
乌黑,-1.814894051
早点,-1.49732436
打赌,-1.786689416
一脸,-1.781135779
商,-1.808234559
店,-1.915095624
红影,-1.354541489
校园,-0.989444112
能量,-1.351211354
从来,-1.088508858
够不够,-1.112454682
厕所,-1.968902827
一口,-1.432294446
渴望,-1.945442725
找个,-0.982793978
仙普话,-0.382435229
说白了,-1.077196866
踩,-1.50384486
点点,-1.390528921
造,-1.636262938
汽车,-1.333918569
咋样,-1.234502624
段时间,-1.397981094
更加,-1.986586568
撞,-1.084695465
推送,-0.964979022
成名曲,-1.324156254
插孔,-2.075736363
美女,-1.912155739
电,-1.24328091
受,-1.157318153
不说,-0.762726119
祸害,-1.262440042
凉,-0.93819032
困惑,-1.676525367
跳屏,-1.357213721
喷雷,-0.934261355
重点,-1.049585184
代码,-1.411063856
罗志祥,-1.239858225
几分,-1.154896923
青年,-1.272481498
多久,-0.968520368
亲民,-1.223434818
先生,-1.253539697
买不到,-1.760152295
王者,-1.526356824
何为,-0.576598205
发际,-1.635462893
抓,-1.384605383
免费送,-1.095848159
一步,-1.793961033
好几年,-0.938455954
明白,-1.655143953
雷总当,-1.083490046
正面,-0.435979137
一张,-1.430779024
纠结,-1.262470762
库存,-1.023635911
孔屏,-1.976960176
数字,-1.560087609
战斗,-0.915405604
老罗,-0.951059954
模样,-1.066266093
高通,-1.969788997
大卖,-1.384524094
现象,-2.053175483
表白,-1.487358988
雷米,-1.279781798
越老越,-1.872682388
电动,-1.947677814
电动车,-1.25807433
包袱,-1.162195361
雷粉,-0.978835714
穿着,-1.50013206
烦恼,-1.094781419
皱纹,-1.912691728
看法,-1.442582506
还会,-1.568720657
到位,-0.892089225
